6.310000000000000000e+03,6.000000000000000000e+00,6.309999999999999609e+00,1.000000000000000000e+03,4.148722694999028349e+00,1.721189999999999998e+01,7.551688552899940454e+00,2.700000000000000000e+01,2.700000000000000000e+01,0.000000000000000000e+00
6.363000000000000000e+03,6.000000000000000000e+00,6.363000000000000433e+00,1.000000000000000000e+03,4.381920925804116074e+00,1.920123100000000349e+01,7.725865647291570326e+00,3.400000000000000000e+01,3.400000000000000000e+01,0.000000000000000000e+00
3.784680000000000000e+05,9.700000000000000000e+01,3.784680000000000177e+02,1.000000000000000000e+03,3.560138915491921807e+02,1.267458909759999806e+05,5.195997671285082333e+02,8.510000000000000000e+02,8.510000000000000000e+02,0.000000000000000000e+00
3.036560000000000000e+05,1.740000000000000000e+02,3.036560000000000059e+02,1.000000000000000000e+03,2.752940748799363746e+02,7.578682766400001128e+04,4.098704600236518445e+02,9.090000000000000000e+02,9.090000000000000000e+02,0.000000000000000000e+00
2.714660000000000000e+05,2.495000000000000000e+02,2.714660000000000082e+02,1.000000000000000000e+03,1.743483892784788338e+02,3.039736084399999527e+04,3.226316010560651648e+02,8.700000000000000000e+02,8.700000000000000000e+02,0.000000000000000000e+00
2.787620000000000000e+05,2.430000000000000000e+02,2.787620000000000005e+02,1.000000000000000000e+03,1.846685229160616757e+02,3.410246335600000020e+04,3.343810939631605379e+02,9.110000000000000000e+02,9.110000000000000000e+02,0.000000000000000000e+00
3.542980000000000000e+05,3.240000000000000000e+02,3.542980000000000018e+02,1.000000000000000000e+03,1.867368715492470699e+02,3.487065919600000052e+04,4.004968564171259118e+02,1.000000000000000000e+03,1.000000000000000000e+03,0.000000000000000000e+00
3.795360000000000000e+05,3.615000000000000000e+02,3.795360000000000014e+02,1.000000000000000000e+03,1.832002748469554092e+02,3.356234070400000201e+04,4.214379147632542981e+02,1.000000000000000000e+03,1.000000000000000000e+03,0.000000000000000000e+00
9.712000000000000000e+03,6.000000000000000000e+00,9.711999999999999744e+00,1.000000000000000000e+03,1.257668700413586649e+01,1.581730560000000025e+02,1.589012271821712474e+01,1.740000000000000000e+02,1.740000000000000000e+02,0.000000000000000000e+00
9.657000000000000000e+03,7.000000000000000000e+00,9.657000000000000028e+00,1.000000000000000000e+03,1.066973996871526431e+01,1.138433509999999984e+02,1.439100413452793070e+01,1.310000000000000000e+02,1.310000000000000000e+02,0.000000000000000000e+00
